;type;in_channels;in_shape;out_channels;out_shape;params/sparsity;v_weight;v_r_weight;v_c_weight;v_bias;weight_ent;bias_ent;MACC;reduced MACC;KB32
0;Conv2d;32;(32, 32, 32);64;(64, 30, 30);18496.0;0;0.0;0.0;0.0;14.17;6.0;16588800;16588800;1048.35328
1;LeakyReLU;1;(64, 30, 30);1;(64, 30, 30);0.0;0;0.0;0.0;0.0;0.0;0.0;0;0;0.0
2;ZeroPad2d;1;(64, 30, 30);1;(64, 32, 32);0.0;0;0.0;0.0;0.0;0.0;0.0;0;0;0.0
3;ConvTranspose2d;1;(64, 32, 32);1;(128, 64, 64);32896.0;0;0.0;0.0;0.0;15.0;7.0;33554432;33554432;1973.76
4;ZeroPad2d;1;(128, 64, 64);1;(128, 66, 66);0.0;0;0.0;0.0;0.0;0.0;0.0;0;0;0.0
5;Conv2d;128;(128, 66, 66);128;(128, 64, 64);147584.0;0;0.0;0.0;0.0;17.17;7.0;603979776;603979776;10136.069120000002
6;LeakyReLU;1;(128, 64, 64);1;(128, 64, 64);0.0;0;0.0;0.0;0.0;0.0;0.0;0;0;0.0
7;ZeroPad2d;1;(128, 64, 64);1;(128, 66, 66);0.0;0;0.0;0.0;0.0;0.0;0.0;0;0;0.0
8;Conv2d;128;(128, 66, 66);128;(128, 64, 64);147584.0;0;0.0;0.0;0.0;17.17;7.0;603979776;603979776;10136.069120000002
9;ZeroPad2d;1;(128, 64, 64);1;(128, 66, 66);0.0;0;0.0;0.0;0.0;0.0;0.0;0;0;0.0
10;Conv2d;128;(128, 66, 66);128;(128, 64, 64);147584.0;0;0.0;0.0;0.0;17.17;7.0;603979776;603979776;10136.069120000002
11;LeakyReLU;1;(128, 64, 64);1;(128, 64, 64);0.0;0;0.0;0.0;0.0;0.0;0.0;0;0;0.0
12;ZeroPad2d;1;(128, 64, 64);1;(128, 66, 66);0.0;0;0.0;0.0;0.0;0.0;0.0;0;0;0.0
13;Conv2d;128;(128, 66, 66);128;(128, 64, 64);147584.0;0;0.0;0.0;0.0;17.17;7.0;603979776;603979776;10136.069120000002
14;ZeroPad2d;1;(128, 64, 64);1;(128, 66, 66);0.0;0;0.0;0.0;0.0;0.0;0.0;0;0;0.0
15;Conv2d;128;(128, 66, 66);128;(128, 64, 64);147584.0;0;0.0;0.0;0.0;17.17;7.0;603979776;603979776;10136.069120000002
16;LeakyReLU;1;(128, 64, 64);1;(128, 64, 64);0.0;0;0.0;0.0;0.0;0.0;0.0;0;0;0.0
17;ZeroPad2d;1;(128, 64, 64);1;(128, 66, 66);0.0;0;0.0;0.0;0.0;0.0;0.0;0;0;0.0
18;Conv2d;128;(128, 66, 66);128;(128, 64, 64);147584.0;0;0.0;0.0;0.0;17.17;7.0;603979776;603979776;10136.069120000002
19;Conv2d;128;(128, 64, 64);32;(32, 62, 62);36896.0;0;0.0;0.0;0.0;15.17;5.0;141705216;141705216;2238.84928
20;LeakyReLU;1;(32, 62, 62);1;(32, 62, 62);0.0;0;0.0;0.0;0.0;0.0;0.0;0;0;0.0
21;ZeroPad2d;1;(32, 62, 62);1;(32, 64, 64);0.0;0;0.0;0.0;0.0;0.0;0.0;0;0;0.0
22;ConvTranspose2d;1;(32, 64, 64);1;(256, 128, 128);33024.0;0;0.0;0.0;0.0;15.0;8.0;134217728;134217728;1981.44
23;Conv2d;256;(256, 128, 128);16;(16, 126, 126);36880.0;0;0.0;0.0;0.0;15.17;4.0;585252864;585252864;2237.8784
24;LeakyReLU;1;(16, 126, 126);1;(16, 126, 126);0.0;0;0.0;0.0;0.0;0.0;0.0;0;0;0.0
25;ReflectionPad2d;1;(16, 126, 126);1;(16, 130, 130);0.0;0;0.0;0.0;0.0;0.0;0.0;0;0;0.0
26;Conv2d;16;(16, 130, 130);3;(3, 128, 128);435.0;0;0.0;0.0;0.0;8.75;1.58;7077888;7077888;15.225
27;Tanh;1;(3, 128, 128);1;(3, 128, 128);0.0;0;0.0;0.0;0.0;0.0;0.0;0;0;0.0
28;General;-;-;-;-;0.0;0;0.0;0.0;0.0;19.98;0.0;4542275584;4542275584;70311.92068000001
